ID,Date,Time,Location,Operator,Flight,Route,Type,Registration,CN_IN,Aboard,Fatalities,Ground,Survivors,SurvivalRate,Summary,ClustID
1,4/4/1933,12:30,"OFF BARNEGAT, NEW JERSEY",MILITARY - U.S. NAVY,Not Available,NOT AVAILABLE,GOODYEAR-ZEPPELIN U.S.S. AKRON (AIRSHIP),ZRS-4,Not Available,76,73,0,3,0.039,"While cruising at 1,600 feet off New Jersey, strong air currents droped the ship to 700 feet before leveling off.  Before it could regain a safe height, it plummeted into the AtlantiOcean. Decision by the commander to fly into a storm despite the presence of lightning.",High Fatality
2,3/12/1950,14:50,"LLANDOW AIRPORT, CARDIFF, WALES",FAIRFLIGHT LTD.,Not Available,LLANDOW - DUBLIN,AVRO 689 TUDOR 5,G-AKBY,1417,83,80,0,3,0.036,"During the approach to Runway 28 at Llandow Airport, it appeared to witnesses that the aircraft was going to touch down prematurely. This was followed by an application of power. Climbing to 300 ft. the aircraft stalled and crashed into a field. Due to the placement of luggage in relation to passenger load, the center of gravity was such that there was insufficient elevator control remaining to counteract the rise of the nose upon full application of power.",High Fatality
3,3/26/1952,Not Available,"MOSCOW, RUSSIA",AEROFLOT,Not Available,NOT AVAILABLE,NOT AVAILABLE,Not Available,Not Available,70,70,0,0,0,The plane overshot the runway and collided with a military aircraft killing at least 70 people.,High Fatality
4,12/20/1952,6:30,"MOSES LAKE, WASHINGTON",MILITARY - U.S. AIR FORCE,Not Available,NOT AVAILABLE,DOUGLAS C-124A GLOBEMASTER,50-100,43238,115,87,0,28,0.243,Within two minutes after takeoff the aircraft began to lose altitude. It crashed and burned into a snow laden field at the end of the airstrip. Failure of the pilot to remove the rudder and elevator locking pin prior to taking off.,High Fatality
5,6/18/1953,16:34,"TACHIKAWA AFB, TOKYO, JAPAN",MILITARY - U.S. AIR FORCE,Not Available,TACHIKAWA AB - KIMPO AB,DOUGLAS C-124A GLOBEMASTER II,51-137A,43471,129,129,0,0,0,Crashed shortly after taking off from Tachikawa Air Base. Engine failure during takeoff. Premature application of full flaps during a three engine approach resulting in loss of air speed and crash. First aviation disaster to claim more than 100 lives.,High Fatality
6,6/20/1956,1:30,"ASBURY PARK, NEW JERSEY",LINEA AEROPOSTAL VENEZOLANA,Not Available,NEW YORK CITY - CARACAS,LOCKHEED 1049E-55 SUPER CONSTELLATION,YV-C-AMS,4561,74,74,0,0,0,"About 1.5 hours after taking off from New York, the pilot radioed the No. 2 propeller was overspeeding and could not be feathered. Upon trying to return to New York the plane caught fire and crashed into the AtlantiOcean. Vibration resulting from the uncontrollable propeller caused one of the inside wing attachments to loosen or break somewhere between the fuel tank and the dump chute causing an uncontrollable fire.",High Fatality
7,6/30/1956,10:32,"GRAND CANYON, ARIZONA",UNITED AIR LINES / TRANS WORLD AIRLINES,718 / 2,LOS ANGELES - CHICAGO / LOS ANGELES - KANSAS CITY,DOUGLAS DC-7 / LOCKHEED S CONSTELLATION,N6902C/N6324C,44288 / 4016,128,128,0,0,0,"The TWA aircraft flying from Los Angeles to Kansas City and the United Aircraft flying from Los Angeles to Chicago collided over the Grand Canyon. Both planes were traveling about 320 mph. Both aircraft were flying in uncontrolled airspace. All  fifty-eight on the DC-7 and seventy on the Constellation killed. The pilots did not see each other in time to avoid the collision. It is not possible to determine why the pilots did not see each other, but the evidence suggests that it resulted from any one or a combination of the following factors: 1) Intervening clouds reducing time for visual separation 2) Visual limitations due to cockpit visibility 3) Preoccupation with normal cockpit duties.",High Fatality
8,2/22/1957,20:00,"KIMPO AIR BASE, SOUTH KOREA",MILITARY - U.S. AIR FORCE,Not Available,"KIMPO AB - TOKYO, JAPAN",DOUGLAS C-124C,51-141A,43475,159,22,0,137,0.862,"The No. 3 engine seized, causing the propellor to come loose and slice through the side  of the fuselage makng two full turns before exiting. It took two men out with it , idled the No. 4 engine and cut the throttle cable.  While  attempting  an emergency return landing at Kimpo Air Base, level flight could not be maintained and the aircraft descended, crashing into the Han River.",Low Fatality
9,8/11/1957,14:15,"NEAR ISSOUDUN, QUEBEC, CANADA",MARITIME CENTRAL AIRWAYS,Not Available,REYKJAVÃK - MONTREAL,DOUGLAS DC-4,CF-MCF,18374,79,79,0,0,0,"The aircraft en route from ReykjavÃ­k to Montreal, Canada was flying at 6,000 ft. when it entered a  thunderstorm. Subsequently it plunged to earth almost vertically at a speed calculated at 230 mph, bursting into flames. Severe turbulence encountered while flying in a cumulonimbus cloud, resulting in a chain of events quickly leading up to a complete loss of control.",High Fatality
10,8/14/1958,3:45,"NORTH ATLANTIOCEAN, 100 MILES W OF GALWAY BAY, IRELAND",KLM ROYAL DUTCH AIRLINES,607E,AMSTERDAM - SHANNON - GANDER - NEW YORK,LOCKHEED 1049H SUPER CONSTELLATION,PH-LKM,4841,99,99,0,0,0,"The aircraft crashed into the sea while en route from Shannon to Gander, Newfoundland. Possible overspeeding of outer propeller.",High Fatality
